Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
NBMUS5T022,Polytrichum formosum var. formosum,,,SNR (2022),Not Reviewed,G5TNR,,,,,,
NBMUS5T100,Polytrichum hyperboreum,,,S2S3 (2024),Blue,G5? (2000),,,,,,
NBMUS5T030,Polytrichum juniperinum,,,S5 (2024),Yellow,G5 (2015),,,,,,
NBMUS5T040,Polytrichum longisetum,,,S4 (2024),Yellow,G5 (2015),,,,,,
NBMUS5T014,Polytrichum perigoniale,,,SU (2023),Unknown,G5T5 (1991),,,,,,
NBMUS5T080,Polytrichum piliferum,,,S5 (2024),Yellow,G5 (2015),,,,,,
NBMUS5T0A0,Polytrichum strictum,,,S4S5 (2024),Yellow,G5 (2015),,,,,,
ITUNI17020,Polyxenus lagurus,,,SNA (2020),Exotic,GNR,,,,,,
ITUNI17030,Polyxenus pugetensis,,,SU (2020),Not Reviewed,GNR,,,,,,
IIPLE0D060,Pomoleuctra purcellana,Purcell Needlefly,,SNR (2017),Not Reviewed,G4 (2009),,,,,,
AFCQB13020,Pomoxis nigromaculatus,Black Crappie,,SNA (2025),Exotic,G5 (2016),,,,,,
IILEYA8050,Ponometia elegantula,Arizona Bird-dropping Moth,,S2S4 (2020),Not Reviewed,GNR,,,,,,
IILEYA6210,Ponometia fumata,,,SU (2017),Not Reviewed,GNR,,,,,,
IILEYA6040,Ponometia semiflava,Half-yellow Moth,,S3S5 (2020),Not Reviewed,G4 (2002),,,,,,
IILEYA6200,Ponometia tortricina,,,S3S5 (2020),Not Reviewed,GNR,,,,,,
IILEPA1010,Pontia beckerii,Becker's White,,S5? (2020),Yellow,G5 (2023),,,,,,
IILEPA1040,Pontia occidentalis,Western White,,S5 (2020),Yellow,G5 (2020),,,,,,
IILEPA1042,Pontia occidentalis nelsoni,"Western White, nelsoni subspecies",,S4? (2023),Yellow,G5T5 (2016),,,,,,
IILEPA1041,Pontia occidentalis occidentalis,"Western White, occidentalis subspecies",,S5 (2023),Yellow,G5T5 (2016),,,,,,
IILEPA1030,Pontia protodice,Checkered White,,SNA (2020),Accidental,G4 (2023),,,,,,
IILEPA1020,Pontia sisymbrii,Spring White,,S5 (2020),Yellow,G5 (2020),,,,,,
IILEPA1021,Pontia sisymbrii beringiensis,"Spring White, beringiensis subspecies",BWBS; ESSF; SBS; SWB,S2S3 (2021),Blue,G5T3T4 (2018),,,,,,
IILEPA1022,Pontia sisymbrii flavitincta,"Spring White, flavitincta subspecies",,S4 (2021),Yellow,G5T4 (2015),,,,,,
IICOLRZR80,Pontomalota opaca,A Rove Beetle,,SU (2023),Not Reviewed,GNR,,,,,,
ABPBX95010,Pooecetes gramineus,Vesper Sparrow,,S5B (2022),Yellow,G5 (2016),,,,,,
