"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"1185",1,1,0.918793503480278,1,0.300795473457659,0.843917795387588,1185
"1186",1,1,0.918793503480278,1,0.314543367249033,0.846667374145862,1186
"1187",1,1,0.918793503480278,1,0.414524602161575,0.866663621128371,1187
"1188",1,1,0.851508120649652,1,0.506269431637159,0.871555510457362,1188
"1189",1,1,0.923433874709977,1,0.553148051234172,0.89531638518883,1189
"1190",1,1,0.923433874709977,1,0.56762776575016,0.898212328092028,1190
"1191",1,1,0.923433874709977,1,0.553504534837181,0.895387681909432,1191
"1192",1,1,0.851508120649652,1,0.542014287995809,0.878704481729092,1192
"1193",1,1,0.851508120649652,1,0.521202904007823,0.874542204931495,1193
"1194",1,1,0.728538283062645,1,0.406072495493107,0.82692215571115,1194
"1195",1,1,0.728538283062645,1,0.369760335698748,0.819659723752279,1195
"1196",1,1,0.728538283062645,1,0.438923814275509,0.833492419467631,1196
"1197",1,1,0.835266821345708,1,0.532992755544323,0.873651915378006,1197
"1198",1,1,0.835266821345708,1,0.591849832608699,0.885423330790881,1198
"1199",1,1,0.835266821345708,1,0.610915444445172,0.889236453158176,1199
"1200",1,1,0.835266821345708,1,0.58528074321773,0.884109512912687,1200
"1201",1,1,0.835266821345708,1,0.527753882701755,0.872604140809493,1201
"1202",1,1,0.728538283062645,1,0.480744455765595,0.841856547765648,1202
"1203",1,1,0.728538283062645,1,0.473881421272322,0.840483940866994,1203
"1233",1,1,0.368909512761021,1,0.318377104683189,0.737457323488842,1233
"1234",1,1,0.39907192575406,1,0.277990639387193,0.735412513028251,1234
"1235",1,1,0.614849187935035,1,0.268826272961808,0.776735092179369,1235
"1315",1,1,0.368909512761021,1,0.477595175338607,0.769300937619926,1315
"1319",1,1,0.368909512761021,1,0.471965719846264,0.768175046521457,1319
"1330",1,1,0.737819025522042,1,0.57672987665448,0.862909780435304,1330
"1331",1,1,0.737819025522042,1,0.563208967907809,0.86020559868597,1331
"1340",1,1,0.368909512761021,1,0.531506687958527,0.78008324014391,1340
"1341",1,1,0.368909512761021,1,0.533296817168799,0.780441265985964,1341
"1390",1,1,0.368909512761021,1,0.396614396200149,0.753104781792234,1390
"1391",1,1,0.368909512761021,1,0.408835084240386,0.755548919400281,1391
